time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/n_updates,train/entropy_loss,train/std,train/explained_variance,train/policy_gradient_loss,train/loss,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/clip_range,eval/mean_reward,eval/mean_ep_length
,,1800000,,,,435,-4.308263214826584,1.0176115036010742,0.943555474281311,0.009782180747497477,0.015855640172958374,0.1885546875,9.160333e-05,0.0001,0.00834657201077789,0.015,3.167476,162.5
6306,285,1802240,3.1213472000000007,153.59,88,,,,,,,,,,,,,
6380,285,1822720,3.2188702399999998,154.43,89,440,-4.31002389550209,1.018149971961975,0.9215362668037415,-0.0007739339990075677,0.016228750348091125,0.171337890625,8.328329e-05,0.0001,0.01014540825621225,0.015,,
6456,285,1843200,3.34769072,163.06,90,445,-4.311095870733261,1.0183149576187134,0.9248001575469971,-0.008562818057034747,-0.003926499746739864,0.192109375,8.774787e-05,0.0001,0.00845359624014236,0.015,,
,,1850000,,,,450,-4.311991665363312,1.0188087224960327,0.9400941133499146,-0.010401203436340439,0.009858636185526848,0.17005859375,8.491394e-05,0.0001,0.007823583251447417,0.015,2.94191825,147.25
6525,285,1863680,3.7655014600000003,191.53,91,,,,,,,,,,,,,
6591,285,1884160,3.3141963,163.78,92,455,-4.313372908830643,1.0189763307571411,0.9335164427757263,0.0035710039932018846,-0.002590940333902836,0.208740234375,9.637787e-05,0.0001,0.008641895758919417,0.015,,
,,1900000,,,,460,-4.314861142635346,1.0196223258972168,0.9276469349861145,-0.0025386248735594563,0.00349271297454834,0.185830078125,9.06928e-05,0.0001,0.008689142962102778,0.015,2.830781875,140.125
6683,284,1904640,3.2633443800000004,165.68,93,,,,,,,,,,,,,
6758,284,1925120,3.6275644799999998,186.4,94,465,-4.316163817644119,1.0199990272521973,0.9437216520309448,-0.003573851650580764,0.008933531120419502,0.188974609375,9.195382e-05,0.0001,0.009365448118187488,0.015,,
6828,284,1945600,3.07194793,155.81,95,470,-4.318022921085357,1.0210999250411987,0.9399232268333435,0.004639540926946211,-0.0011988580226898193,0.1773828125,8.66459e-05,0.0001,0.009043484845897183,0.015,,
,,1950000,,,,475,-4.3213171446323395,1.0218886137008667,0.9434753060340881,0.007051432652879157,0.009805666282773018,0.195673828125,9.254611e-05,0.0001,0.008254378862911835,0.015,3.5267109999999997,163.875
6904,284,1966080,3.3358415200000002,164.74,96,,,,,,,,,,,,,
6972,284,1986560,2.9968572200000008,148.79,97,480,-4.321163039207459,1.021648645401001,0.9333207607269287,-0.008436848015408031,-0.0011377669870853424,0.1626953125,7.998528e-05,0.0001,0.008479638603748754,0.015,,
,,2000000,,,,485,-4.323824352025985,1.0227041244506836,0.9383199214935303,0.002438373000768479,0.018335135653614998,0.165703125,7.654521e-05,0.0001,0.008000042923958972,0.015,3.6239277499999996,166.25
7047,284,2007040,3.0360237999999993,156.0,98,,,,,,,,,,,,,
7113,285,2027520,3.2360246399999992,162.65,99,490,-4.325152342319488,1.0231255292892456,0.9414663910865784,-0.003031723538879305,0.008173242211341858,0.17318359375,7.7892866e-05,0.0001,0.00850402299547568,0.015,,
7182,285,2048000,3.4099256700000002,168.15,100,495,-4.326497492790222,1.0234971046447754,0.9322082996368408,-0.014227782161906361,0.0010265400633215904,0.193271484375,9.3463015e-05,0.0001,0.008249828892294317,0.015,,
,,2050000,,,,500,-4.327120625972748,1.0240682363510132,0.9475392699241638,-0.00903029809371219,-0.008939187973737717,0.15837890625,7.984486e-05,0.0001,0.007633709909277968,0.015,2.830556625,144.75
7281,284,2068480,3.2052263499999993,157.27,101,,,,,,,,,,,,,
7366,283,2088960,3.1483696599999997,158.85,102,505,-4.3280450880527495,1.023940086364746,0.9323188066482544,-0.006876366258202324,0.00917103886604309,0.18375,9.0487374e-05,0.0001,0.008825457021011972,0.015,,
,,2100000,,,,510,-4.3275119650363925,1.0238670110702515,0.927756130695343,-0.008793806090106954,-0.013646109029650688,0.173896484375,8.041413e-05,0.0001,0.009286871335934848,0.015,3.336012125,150.25
7433,283,2109440,3.1355705599999997,152.07,103,,,,,,,,,,,,,
7496,284,2129920,3.0683603100000005,151.25,104,515,-4.326940284967423,1.023808479309082,0.9439982771873474,-0.009162389259581688,0.0034543825313448906,0.163935546875,7.86922e-05,0.0001,0.007396187098929658,0.015,,
,,2150000,,,,520,-4.3278995656967165,1.0241366624832153,0.9334760308265686,2.3848923956393264e-05,-0.0016811219975352287,0.172802734375,8.06437e-05,0.0001,0.008913228190504014,0.015,2.995588875,142.0
7563,284,2150400,3.1723712899999996,157.73,105,,,,,,,,,,,,,
7631,284,2170880,3.2848247300000004,163.75,106,525,-4.328580255508423,1.0240954160690308,0.9346692562103271,-0.00841765353718074,0.007751976605504751,0.187333984375,8.686011e-05,0.0001,0.008687012800364755,0.015,,
7723,283,2191360,3.9118266900000003,191.61,107,530,-4.326630808115006,1.0232276916503906,0.9215176701545715,-0.019159276029386094,-0.01276852935552597,0.200263671875,0.0001016991,0.0001,0.010135110977571457,0.015,,
